min_t,max_t,min_f,max_f,label,min_y,min_x,max_y,max_x,shp_001,shp_002,shp_003,shp_004,shp_005,shp_006,shp_007,shp_008,shp_009,shp_010,shp_011,shp_012,shp_013,shp_014,shp_015,shp_016,fname
0.010666666666666666,3.0,2500.0,5500.0,0,53,0,117,140,0.11626707704844495,0.13815128658943157,0.07463604966027433,0.08072802615407607,0.047959987377191704,0.05190394115835508,0.04727521007884751,0.048415525485290954,0.023421535517758458,0.026628803804047432,0.033337917931478916,0.03000052754868089,0.011256577375772903,0.01199360485435252,0.04631956727692342,0.029914891394091897,soundscape_ALFE0.wav
3.0,6.0,2500.0,5500.0,0,53,140,117,281,0.11454217275592496,0.13517160913369114,0.07376300619901183,0.07977548303149269,0.049927846308535646,0.05532392881393275,0.042767994293575466,0.04520234968377032,0.020285211683928526,0.023636334022529425,0.027087677733120933,0.02485469475830934,0.00802929932865753,0.007341786027151679,0.04455400945013422,0.028828612664035712,soundscape_ALFE0.wav
6.0,9.0,2500.0,5500.0,0,53,281,117,421,0.1150563074478023,0.1382006336517317,0.07402688381052924,0.08030440893173281,0.0474577150889928,0.052905581759462555,0.04452193631068764,0.046543732895347016,0.024067624513949837,0.02520370241266285,0.030224371238133454,0.02553000697475072,0.010999861547908139,0.01156225977494203,0.04661421464951589,0.029074904460061557,soundscape_ALFE0.wav
9.0,12.0,2500.0,5500.0,1.0,53,421,117,562,0.11685264859311577,0.13886460027172956,0.07310134539998366,0.08070638538759359,0.05433913773744416,0.05949104487533442,0.044187133899649865,0.04414129506769302,0.026574018322098686,0.028059360769195227,0.03799882782747101,0.033413303098532576,0.01630026758970899,0.01677909317412212,0.045469294109445155,0.031854269393829425,soundscape_ALFE0.wav
12.0,15.0,2500.0,5500.0,1.0,53,562,117,703,0.12212511643734371,0.14198058628047305,0.07669610645754074,0.08342218061188268,0.05789398766882798,0.06354449039905924,0.04882711406002664,0.047495845104916154,0.03855681778571466,0.03581664308361142,0.04522839150594634,0.036057291958639645,0.024426241809233088,0.02504345761523016,0.060998721357114705,0.05076106672868265,soundscape_ALFE0.wav
15.0,18.0,2500.0,5500.0,1.0,53,703,117,843,0.12078859705280273,0.1409891060325785,0.07799693670140001,0.08316285167902199,0.060149037103691065,0.06383957322479611,0.0460459428585113,0.046029279236000586,0.038672461181909194,0.03813527228354305,0.04612619472224878,0.03387486355351216,0.023165665735240232,0.028105990682102323,0.06986391918306606,0.054330714293253875,soundscape_ALFE0.wav
18.0,21.0,2500.0,5500.0,0,53,843,117,984,0.11794225881913116,0.14036915892698537,0.07445694595854728,0.08126414564185487,0.055288604683049976,0.06267074324295249,0.04643344759425545,0.04679921661733498,0.02645238092865261,0.029502835672737964,0.034156769730341284,0.03007223269586804,0.015861052608463728,0.01736257114257447,0.04889252763883956,0.035330084923311356,soundscape_ALFE0.wav
21.0,24.0,2500.0,5500.0,0,53,984,117,1124,0.1156125460891498,0.13853579299055682,0.07472109629816359,0.08189720076437919,0.05164954853093623,0.05960182874679298,0.04006903464997878,0.04364036554508115,0.023500262584569744,0.02425719910842987,0.028659852183393196,0.02450862681586566,0.013591583560956886,0.016185313903366094,0.04502931898082117,0.030660068818746434,soundscape_ALFE0.wav
24.0,27.0,2500.0,5500.0,0,53,1124,117,1265,0.11616279665047867,0.1364537398585679,0.07475601075388358,0.08154492713819479,0.06015774688721829,0.06735431653455795,0.04287651082971571,0.04429075841469094,0.023256161899137606,0.024675389050242077,0.03260081455654616,0.027646860300263025,0.016782814411003776,0.016261880540055545,0.04866075912691135,0.03164784643440762,soundscape_ALFE0.wav
27.0,30.0,2500.0,5500.0,0,53,1265,117,1406,0.11636692643277817,0.1380937292843691,0.07644105688629146,0.08302199949566266,0.05771703103395193,0.06555531722579747,0.045817730120324376,0.047301989173422494,0.025473851527882604,0.02690715542346674,0.029454139546497286,0.02521185326526517,0.015964766941491397,0.01956016990327645,0.04482225335895253,0.029129713880958356,soundscape_ALFE0.wav
