min_t,max_t,min_f,max_f,label,min_y,min_x,max_y,max_x,shp_001,shp_002,shp_003,shp_004,shp_005,shp_006,shp_007,shp_008,shp_009,shp_010,shp_011,shp_012,shp_013,shp_014,shp_015,shp_016,shp_017,shp_018,shp_019,shp_020,shp_021,shp_022,shp_023,shp_024,shp_025,shp_026,shp_027,shp_028,shp_029,shp_030,shp_031,shp_032,shp_033,shp_034,shp_035,shp_036,shp_037,shp_038,shp_039,shp_040,shp_041,shp_042,shp_043,shp_044,shp_045,shp_046,shp_047,shp_048,fname
0.010666666666666666,3.0,2500.0,5500.0,0,53,0,117,140,0.11626707704844495,0.13815128658943157,0.08824572503082517,0.1039425357491817,0.07463604966027433,0.08072802615407607,0.08987750435425117,0.10536505363356159,0.047959987377191704,0.05190394115835508,0.04126943668792395,0.044073676758657754,0.04727521007884751,0.048415525485290954,0.041397486045639,0.044485987226459835,0.023421535517758458,0.026628803804047432,0.023691509647897322,0.02165229991418751,0.033337917931478916,0.03000052754868089,0.023812212766284938,0.022483969821297054,0.011256577375772903,0.01199360485435252,0.021014659185638832,0.017263360800175553,0.04631956727692342,0.029914891394091897,0.02259362165809178,0.018063640834070215,0.007307123984225241,0.007588751039177525,0.031262828037840557,0.024856194085412554,0.09209867518384295,0.062228699523823,0.03238725489014066,0.02552414675532943,0.0043773153894478296,0.004253840577829837,0.048089274235870436,0.03765496664591732,0.1530520847029347,0.10473452425479948,0.04866927718069898,0.03807673596527242,soundscape_ALFE0.wav
3.0,6.0,2500.0,5500.0,0,53,140,117,281,0.11454217275592496,0.13517160913369114,0.08623066365305065,0.1039572353449081,0.07376300619901183,0.07977548303149269,0.08877120883729897,0.1053922165744067,0.049927846308535646,0.05532392881393275,0.0412588361843234,0.0441120237630765,0.042767994293575466,0.04520234968377032,0.04211941052130731,0.04384394489214841,0.020285211683928526,0.023636334022529425,0.024667217516971547,0.021909555894642056,0.027087677733120933,0.02485469475830934,0.025397936831124936,0.02396251462744048,0.00802929932865753,0.007341786027151679,0.020881946301533304,0.018334790888684914,0.04455400945013422,0.028828612664035712,0.021501675719444877,0.018103460905202467,0.005780038892721933,0.006664156826615789,0.031100370676951525,0.024184662424078764,0.0878177084292133,0.058840223461763805,0.030601023459436296,0.023944945789664395,0.0059416188016085045,0.0036044119167080954,0.0473588260097073,0.03698741207483858,0.15291765086128195,0.1075951666898065,0.04665168641420327,0.036884246551931774,soundscape_ALFE0.wav
6.0,9.0,2500.0,5500.0,0,53,281,117,421,0.1150563074478023,0.1382006336517317,0.09136490163632682,0.10745793741314645,0.07402688381052924,0.08030440893173281,0.08952381418842831,0.10630516188936381,0.0474577150889928,0.052905581759462555,0.044782562823131075,0.04669413525172204,0.04452193631068764,0.046543732895347016,0.04287973988751352,0.04492085680410004,0.024067624513949837,0.02520370241266285,0.025050395470372255,0.0242423863744326,0.030224371238133454,0.02553000697475072,0.022638673827146478,0.021488840761518063,0.010999861547908139,0.01156225977494203,0.019745984976880643,0.01695790072672678,0.04661421464951589,0.029074904460061557,0.020458015971265953,0.01692504607137481,0.007556751830754162,0.007933775076044893,0.031783951535136475,0.024771346481620677,0.09284578568831603,0.06218377348427427,0.032522434549420456,0.02522165791876186,0.0040536572856966265,0.0038889692457921054,0.04828970262646637,0.03812462664983517,0.15517168691554648,0.1067741587603753,0.04989142796571934,0.03901008913969715,soundscape_ALFE0.wav
9.0,12.0,2500.0,5500.0,1.0,53,421,117,562,0.11685264859311577,0.13886460027172956,0.08932328066997432,0.10565441814107517,0.07310134539998366,0.08070638538759359,0.09410890342499431,0.10904072476878178,0.05433913773744416,0.05949104487533442,0.043430726337415584,0.04453439679736951,0.044187133899649865,0.04414129506769302,0.04823898040538438,0.050759337463122556,0.026574018322098686,0.028059360769195227,0.025193608218986748,0.025252596634661333,0.03799882782747101,0.033413303098532576,0.026614655302712783,0.025581992227928278,0.01630026758970899,0.01677909317412212,0.021849245216712814,0.018238943721023013,0.045469294109445155,0.031854269393829425,0.02317592347268242,0.01948230015098229,0.008790545131140422,0.009585473393177588,0.03206204020341004,0.02514273922363917,0.0874045176326385,0.05751271847650313,0.03341390058143508,0.026219940856780644,0.003804871490980382,0.0032862107959352213,0.0478377622545045,0.03787317908285024,0.16125685553751398,0.10815282411978891,0.05008935092431291,0.0394557188202845,soundscape_ALFE0.wav
12.0,15.0,2500.0,5500.0,1.0,53,562,117,703,0.12212511643734371,0.14198058628047305,0.09023115071071296,0.10943931026241396,0.07669610645754074,0.08342218061188268,0.09432809715895799,0.110728213870398,0.05789398766882798,0.06354449039905924,0.04592151474731693,0.04780243070873095,0.04882711406002664,0.047495845104916154,0.055565566709524374,0.0541009108155038,0.03855681778571466,0.03581664308361142,0.02690043365656585,0.02724872667830074,0.04522839150594634,0.036057291958639645,0.03640457059970172,0.03343072155521124,0.024426241809233088,0.02504345761523016,0.026442324335290993,0.02148354815454373,0.060998721357114705,0.05076106672868265,0.029802134305342228,0.026250480844899175,0.01029182702323078,0.015326141707371791,0.03242678192164081,0.027156507618865754,0.07860059679307393,0.051382295868327384,0.03480935503456501,0.027722247359073415,0.001811750440360218,0.0018620287500007882,0.04773112659012866,0.037686437917657634,0.16177652478849708,0.09876384465034804,0.050871103146008866,0.040624654626626996,soundscape_ALFE0.wav
15.0,18.0,2500.0,5500.0,1.0,53,703,117,843,0.12078859705280273,0.1409891060325785,0.08946660880842328,0.10664874671149788,0.07799693670140001,0.08316285167902199,0.09486539435671881,0.11039783755340798,0.060149037103691065,0.06383957322479611,0.04937535648530744,0.05133965737943719,0.0460459428585113,0.046029279236000586,0.05780107280665039,0.055096023114485616,0.038672461181909194,0.03813527228354305,0.02718026001728563,0.02738355187228768,0.04612619472224878,0.03387486355351216,0.04347448064992993,0.03749855646484825,0.023165665735240232,0.028105990682102323,0.02318043108902118,0.02090297322278232,0.06986391918306606,0.054330714293253875,0.029504887282236814,0.026975543453626828,0.008820155029403661,0.01229661906677045,0.03465887305540153,0.02696854382333569,0.08169914587734188,0.05561695142881904,0.034254358132216674,0.027138653367757518,0.002749631858705836,0.00200681249487684,0.05272151989440395,0.041393440985532166,0.15804485237699262,0.09129464654417307,0.05127264173764553,0.04045658508402059,soundscape_ALFE0.wav
18.0,21.0,2500.0,5500.0,0,53,843,117,984,0.11794225881913116,0.14036915892698537,0.09240322595078322,0.10841628349920741,0.07445694595854728,0.08126414564185487,0.09393819918267006,0.10933565817201849,0.055288604683049976,0.06267074324295249,0.04727595107858774,0.05016871458908063,0.04643344759425545,0.04679921661733498,0.04974531065575753,0.053052365925368127,0.02645238092865261,0.029502835672737964,0.027389946166032596,0.025856002329153815,0.034156769730341284,0.03007223269586804,0.02863828317649227,0.02697447955175301,0.015861052608463728,0.01736257114257447,0.02234825470160415,0.019372983803245244,0.04889252763883956,0.035330084923311356,0.023032402642733988,0.02022216635480336,0.006378604232844606,0.007453388781269724,0.033277312479883504,0.025628452754768577,0.08522426749428608,0.05465369321137305,0.029982819205340606,0.024326177142341716,0.006635989894057351,0.005022994706329576,0.05022236166077114,0.03969486001251429,0.15363152374078617,0.10213879711564229,0.04624322425520237,0.03613511983760286,soundscape_ALFE0.wav
21.0,24.0,2500.0,5500.0,0,53,984,117,1124,0.1156125460891498,0.13853579299055682,0.08994632970116836,0.10589561121236915,0.07472109629816359,0.08189720076437919,0.09021252424029878,0.10592051162044831,0.05164954853093623,0.05960182874679298,0.04568946029576952,0.04950984057040527,0.04006903464997878,0.04364036554508115,0.042721558275738605,0.048073808271045064,0.023500262584569744,0.02425719910842987,0.025488860894939545,0.02311581459241514,0.028659852183393196,0.02450862681586566,0.023839240701755377,0.022803118998176566,0.013591583560956886,0.016185313903366094,0.023695830699775548,0.02014247136939837,0.04502931898082117,0.030660068818746434,0.019892235106423985,0.016876914328485607,0.005989050441816592,0.006346236295760071,0.03151447685306045,0.02524527939142247,0.0910584275940951,0.06223935554576339,0.031184269417937692,0.02429643415759953,0.006275771187796796,0.0048575811240967205,0.046786709512257864,0.03688922668325032,0.1568481589312077,0.11112764522992272,0.04700102530497869,0.03681742400017925,soundscape_ALFE0.wav
24.0,27.0,2500.0,5500.0,0,53,1124,117,1265,0.11616279665047867,0.1364537398585679,0.09326640115200831,0.10796271346904655,0.07475601075388358,0.08154492713819479,0.09020960817934445,0.10495773601638113,0.06015774688721829,0.06735431653455795,0.04367164588465079,0.0501754438569874,0.04287651082971571,0.04429075841469094,0.04529659238444528,0.05163807252278296,0.023256161899137606,0.024675389050242077,0.024563587991751467,0.02302397397263283,0.03260081455654616,0.027646860300263025,0.025180291170195313,0.023478163506176996,0.016782814411003776,0.016261880540055545,0.02155709585967654,0.019646722576629357,0.04866075912691135,0.03164784643440762,0.02283326733164141,0.019807182875867916,0.01214313422935136,0.012274056101232184,0.031694318042168795,0.02501122742691765,0.09574270105991708,0.06361845479690612,0.0315858260697446,0.0250873376480778,0.005988743245152056,0.00666545433381922,0.04700321167337475,0.036848459178875886,0.15707894192451777,0.10946643209802485,0.04733402892679682,0.03725569756566991,soundscape_ALFE0.wav
27.0,30.0,2500.0,5500.0,0,53,1265,117,1406,0.11636692643277817,0.1380937292843691,0.09186728294780427,0.10755700391393484,0.07644105688629146,0.08302199949566266,0.08951310085241354,0.1054323381755419,0.05771703103395193,0.06555531722579747,0.047027836632613125,0.05384503732002218,0.045817730120324376,0.047301989173422494,0.04867994501137714,0.05345645086524313,0.025473851527882604,0.02690715542346674,0.024375543020796184,0.023948093546673297,0.029454139546497286,0.02521185326526517,0.025499226272605813,0.02575945028688967,0.015964766941491397,0.01956016990327645,0.020905687708791993,0.018635579367340716,0.04482225335895253,0.029129713880958356,0.021774068566963976,0.018871544274770467,0.006853437955021697,0.006993483842588472,0.03207191322049791,0.02468479781192227,0.0917024155503182,0.06085156813039365,0.031183731274968297,0.02452249949741179,0.0034679945680360976,0.00371306829980077,0.04878251448703934,0.038194128097546506,0.1575246027043151,0.11174866474510634,0.047852582938030686,0.037274441506512615,soundscape_ALFE0.wav
